symbol,company_name,series,isin,listing_date,sector,industry,basic_industry,classification_status,classification_source,classification_failure_reason,bse_attempt_count,bse_last_attempt_utc,bse_code,fallback_bse_attempted,yahoo_attempted,report_generated_at_utc
QMSMEDI,QMS Medical Allied Services Limited,BE,INE0FMW01018,2026-06-18,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
RAJMET,Rajnandini Metal Limited,EQ,INE00KV01022,2021-02-16,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
REPL,Rudrabhishek Enterprises Limited,BE,INE364Z01019,2020-12-14,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
RKEC,RKEC Projects Limited,EQ,INE786W01010,2020-12-18,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
RPPL,Rajshree Polypack Limited,BE,INE760W01023,2021-11-26,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SAGARDEEP,Sagardeep Alloys Limited,EQ,INE976T01013,2019-01-25,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SAKAR,Sakar Healthcare Limited,EQ,INE732S01012,2019-04-11,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SANGINITA,Sanginita Chemicals Limited,BE,INE753W01010,2019-07-15,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SERVOTECH,Servotech Renewable Power System Limited,EQ,INE782X01033,2021-09-02,,,,BSE_RETRY,,"No BSE code found using ISIN, symbol, or company name",3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SHANTI,Shanti Overseas (India) Limited,EQ,INE933X01016,2021-09-16,,,,BSE_RETRY,,SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SHIVAUM,Shiv Aum Steels Limited,EQ,INE719F01016,2025-11-14,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SHRADHA,Shradha Realty Limited,EQ,INE715Y01031,2020-10-22,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SHRENIK,Shrenik Limited,BZ,INE632X01030,2019-08-02,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SIKKO,Sikko Industries Limited,BE,INE112X01025,2021-10-22,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SILGO,Silgo Retail Limited,EQ,INE01II01013,2021-03-03,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SILLYMONKS,Silly Monks Entertainment Limited,EQ,INE203Y01012,2020-07-08,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SINTERCOM,Sintercom India Limited,EQ,INE129Z01016,2020-10-07,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SONAMLTD,SONAM LIMITED,EQ,INE00LM01029,2022-04-07,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SPCENET,Spacenet Enterprises India Limited,EQ,INE970N01027,2017-01-10,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
STEELCITY,Steel City Securities Limited,EQ,INE395H01011,2019-06-27,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SUMIT,Sumit Woods Limited,EQ,INE748Z01013,2019-07-30,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SUPREMEENG,Supreme Engineering Limited,BZ,INE319Z01021,2020-12-04,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
SVLL,Shree Vasu Logistics Limited,BE,INE00CE01017,2023-04-21,,,,BSE_RETRY,,ISIN: IndexError: tuple index out of range | SYMBOL: IndexError: tuple index out of range | COMPANY_NAME: IndexError: tuple index out of range,3,2026-09-10T12:52:04Z,,YES,YES,2026-09-11T12:54:36Z
