Date,Industry,Total_Stocks,Avg_Daily_Gain,Above_20,Above_50,Above_200,Vol_Shock_Count,Near_52W_Count,Pct_Above_20,Pct_Above_50,Pct_Above_200,Pct_Near_52W,Thrust_Score
2026-08-16,Automobile And Auto Components,48,0.0,33,35,34,0,8,68.8,72.9,70.8,16.7,56
2026-08-16,Information Technology,36,0.0,26,27,18,0,2,72.2,75.0,50.0,5.6,51
2026-08-16,Healthcare,70,0.0,36,48,54,0,10,51.4,68.6,77.1,14.3,50
2026-08-16,Capital Goods,111,0.0,62,67,77,0,9,55.9,60.4,69.4,8.1,47
2026-08-16,Media Entertainment & Publication,10,0.0,5,6,6,0,1,50.0,60.0,60.0,10.0,44
2026-08-16,Auto Components,9,0.0,4,4,7,0,1,44.4,44.4,77.8,11.1,42
2026-08-16,Pharmaceuticals,5,0.0,2,3,3,0,1,40.0,60.0,60.0,20.0,42
2026-08-16,Private Bank,25,0.0,10,13,18,0,5,40.0,52.0,72.0,20.0,42
2026-08-16,Consumer Durables,41,0.0,20,23,23,0,3,48.8,56.1,56.1,7.3,41
2026-08-16,Realty,16,0.0,8,10,8,0,0,50.0,62.5,50.0,0.0,41
2026-08-16,PSU Bank,11,0.0,6,6,6,0,0,54.5,54.5,54.5,0.0,41
2026-08-16,Consumer Services,46,0.0,23,28,24,0,1,50.0,60.9,52.2,2.2,41
2026-08-16,Specialty Chemicals,15,1.08,8,8,7,2,1,53.3,53.3,46.7,6.7,41
2026-08-16,Chemicals,45,0.0,21,24,26,0,5,46.7,53.3,57.8,11.1,41
2026-08-16,Private Sector Bank,22,0.0,10,11,15,0,0,45.5,50.0,68.2,0.0,40
2026-08-16,Diversified,3,0.0,1,2,2,0,0,33.3,66.7,66.7,0.0,40
2026-08-16,Services,26,0.0,13,13,15,0,0,50.0,50.0,57.7,0.0,39
2026-08-16,Oil Gas & Consumable Fuels,17,0.0,8,10,9,0,0,47.1,58.8,52.9,0.0,39
2026-08-16,NBFC,97,0.0,45,52,49,0,4,46.4,53.6,50.5,4.1,38
2026-08-16,Metals & Mining,25,0.0,10,13,15,0,0,40.0,52.0,60.0,0.0,37
2026-08-16,Emerging Equities,1814,0.17,835,874,831,15,120,46.0,48.2,45.8,6.6,36
2026-08-16,Telecommunication,12,0.0,5,6,6,0,0,41.7,50.0,50.0,0.0,35
2026-08-16,Textiles,12,0.0,5,4,7,0,1,41.7,33.3,58.3,8.3,34
2026-08-16,Fast Moving Consumer Goods,45,0.0,18,19,19,0,6,40.0,42.2,42.2,13.3,33
2026-08-16,IT Services,20,0.0,8,10,7,0,0,40.0,50.0,35.0,0.0,32
2026-08-16,Insurance,13,0.0,5,5,6,0,0,38.5,38.5,46.2,0.0,30
2026-08-16,Construction,23,0.0,5,7,5,0,0,21.7,30.4,21.7,0.0,18
2026-08-16,Utilities,4,0.0,0,1,2,0,0,0.0,25.0,50.0,0.0,16
2026-08-16,Power,21,0.0,4,4,5,0,0,19.0,19.0,23.8,0.0,15
2026-08-16,Construction Materials,16,0.0,2,2,2,0,0,12.5,12.5,12.5,0.0,9
